Genus,Avg_Per,SD_Per,Avg_N15,SD_N15,Zone
Caulerpa sp.,2.2,0.3,4.8,0.8,2
Chondria sp.,1.6,0.4,2.8,0.3,1
Codium sp.,0.9,0.1,4.4,0.1,2
Galaxaura sp.,0.4,0,4.2,0.6,2
Halimeda sp.,1,0.4,2.6,0.9,1
Laurencia sp.,1.6,0.4,2.8,1.5,1
Microdictyon sp.,1.5,0.5,1.7,0.7,1
Sargassum sp.,1,0.2,4,0.8,2
Scinaia sp.,1,0.2,4.2,0,2
Ulva/Umbraulva,1.3,0.6,4.7,0.5,2
Ulvaceae,1.9,0.5,4.3,0.8,2
Unknown red,0.6,0,0,0,2
Unknown red,1.9,0.2,3,0.2,1
