Udotea-reg,Udotea-decal,Halimeda-reg,Halimdea-decal
3.74,3.52,3.24,3.52
3.27,3.44,3.88,3.88
3.25,2.90,2.40,2.46
3.22,3.60,2.97,3.02
3.62,3.78,3.69,3.77
3.00,4.45,2.56,2.36
2.78,3.78,2.56,2.24
1.89,2.89,3.01,2.69
3.55,4.53,2.91,2.51
,,2.29,1.97
